WeekNum,Year,CAP,Cases
12,2021,20127,202
12,2021,20128,249
12,2021,20129,202
12,2021,20131,226
12,2021,20132,243
12,2021,20133,213
12,2021,20134,184
12,2021,20135,234
12,2021,20136,231
12,2021,20137,199
12,2021,20138,305
12,2021,20139,221
12,2021,20141,192
12,2021,20142,227
12,2021,20143,184
12,2021,20144,271
12,2021,20145,189
12,2021,20146,157
12,2021,20147,189
12,2021,20148,197
12,2021,20149,170
12,2021,20151,236
12,2021,20152,185
12,2021,20153,203
12,2021,20154,275
12,2021,20155,192
12,2021,20156,150
12,2021,20157,194
12,2021,20158,191
12,2021,20159,180
12,2021,20161,186
12,2021,20162,203
13,2021,20121,169
13,2021,20122,214
13,2021,20123,182
13,2021,20124,172
13,2021,20125,152
13,2021,20126,162
13,2021,20127,117
13,2021,20128,96
13,2021,20129,158
13,2021,20131,150
13,2021,20132,183
13,2021,20133,228
13,2021,20134,167
13,2021,20135,194
13,2021,20136,108
13,2021,20137,175
13,2021,20138,207
13,2021,20139,208
13,2021,20141,182
13,2021,20142,155
13,2021,20143,190
13,2021,20144,183
13,2021,20145,129
13,2021,20146,170
13,2021,20147,158
13,2021,20148,148
13,2021,20149,158
13,2021,20151,204
13,2021,20152,201
13,2021,20153,193
13,2021,20154,184
13,2021,20155,153
13,2021,20156,146
13,2021,20157,183
13,2021,20158,188
13,2021,20159,126
13,2021,20161,171
13,2021,20162,149
14,2021,20121,141
14,2021,20122,100
14,2021,20123,133
14,2021,20124,113
14,2021,20125,96
14,2021,20126,83
14,2021,20127,71
14,2021,20128,108
14,2021,20129,90
14,2021,20131,89
14,2021,20132,106
14,2021,20133,120
14,2021,20134,66
14,2021,20135,117
14,2021,20136,32
14,2021,20137,148
14,2021,20138,132
14,2021,20139,122
14,2021,20141,79
14,2021,20142,119
14,2021,20143,151
14,2021,20144,121
14,2021,20145,94
14,2021,20146,87
14,2021,20147,93
14,2021,20148,118
14,2021,20149,108
14,2021,20151,120
14,2021,20152,103
14,2021,20153,108
14,2021,20154,130
14,2021,20155,118
14,2021,20156,71
14,2021,20157,111
14,2021,20158,103
14,2021,20159,71
14,2021,20161,74
14,2021,20162,86
15,2021,20121,114
15,2021,20122,92
15,2021,20123,152
15,2021,20124,89
15,2021,20125,156
15,2021,20126,127
15,2021,20127,124
15,2021,20128,78
15,2021,20129,100
15,2021,20131,96
15,2021,20132,120
15,2021,20133,146
15,2021,20134,83
15,2021,20135,117
15,2021,20136,108
15,2021,20137,135
15,2021,20138,90
15,2021,20139,134
15,2021,20141,105
15,2021,20142,129
15,2021,20143,74
15,2021,20144,118
15,2021,20145,94
15,2021,20146,111
15,2021,20147,76
15,2021,20148,99
15,2021,20149,93
15,2021,20151,82
15,2021,20152,162
15,2021,20153,171
15,2021,20154,101
15,2021,20155,150
15,2021,20156,103
15,2021,20157,132
15,2021,20158,65
15,2021,20159,71
15,2021,20161,93
15,2021,20162,122
16,2021,20121,118
16,2021,20122,77
16,2021,20123,106
16,2021,20124,94
16,2021,20125,110
16,2021,20126,83
16,2021,20127,87
16,2021,20128,90
16,2021,20129,100
16,2021,20131,103
16,2021,20132,116
16,2021,20133,84
16,2021,20134,88
16,2021,20135,163
16,2021,20136,81
16,2021,20137,159
16,2021,20138,117
16,2021,20139,147
16,2021,20141,71
16,2021,20142,103
16,2021,20143,98
16,2021,20144,214
16,2021,20145,144
16,2021,20146,95
16,2021,20147,91
16,2021,20148,92
16,2021,20149,59
16,2021,20151,120
16,2021,20152,105
16,2021,20153,159
16,2021,20154,124
16,2021,20155,66
16,2021,20156,99
16,2021,20157,92
16,2021,20158,82
16,2021,20159,149
16,2021,20161,108
16,2021,20162,97
17,2021,20121,105
17,2021,20122,81
17,2021,20123,73
17,2021,20124,72
17,2021,20125,140
17,2021,20126,79
17,2021,20127,106
17,2021,20128,69
17,2021,20129,84
17,2021,20131,67
17,2021,20132,85
17,2021,20133,86
17,2021,20134,57
17,2021,20135,91
17,2021,20136,32
17,2021,20137,155
17,2021,20138,90
17,2021,20139,115
17,2021,20141,97
17,2021,20142,85
17,2021,20143,101
17,2021,20144,156
17,2021,20145,109
17,2021,20146,95
17,2021,20147,71
17,2021,20148,63
17,2021,20149,99
17,2021,20151,67
17,2021,20152,101
17,2021,20153,162
17,2021,20154,101
17,2021,20155,70
17,2021,20156,63
17,2021,20157,89
17,2021,20158,53
17,2021,20159,51
17,2021,20161,72
17,2021,20162,78
18,2021,20121,46
18,2021,20122,55
18,2021,20123,91
18,2021,20124,94
18,2021,20125,119
18,2021,20126,75
18,2021,20127,94
18,2021,20128,51
18,2021,20129,68
18,2021,20131,49
18,2021,20132,49
18,2021,20133,71
18,2021,20134,44
18,2021,20135,88
18,2021,20136,54
18,2021,20137,138
18,2021,20138,37
18,2021,20139,69
18,2021,20141,52
18,2021,20142,69
18,2021,20143,62
18,2021,20144,118
18,2021,20145,69
18,2021,20146,64
18,2021,20147,78
18,2021,20148,61
18,2021,20149,59
18,2021,20151,53
18,2021,20152,52
18,2021,20153,79
18,2021,20154,67
18,2021,20155,108
18,2021,20156,150
18,2021,20157,94
18,2021,20158,65
18,2021,20159,71
18,2021,20161,74
18,2021,20162,62
19,2021,20121,50
19,2021,20122,52
19,2021,20123,70
19,2021,20124,48
19,2021,20125,83
19,2021,20126,79
19,2021,20127,67
19,2021,20128,27
19,2021,20129,44
19,2021,20131,49
19,2021,20132,49
19,2021,20133,19
19,2021,20134,26
19,2021,20135,43
19,2021,20136,27
19,2021,20137,24
19,2021,20138,32
19,2021,20139,69
19,2021,20141,32
19,2021,20142,56
19,2021,20143,47
19,2021,20144,52
19,2021,20145,40
19,2021,20146,56
19,2021,20147,58
19,2021,20148,66
19,2021,20149,68
19,2021,20151,67
19,2021,20152,70
19,2021,20153,48
19,2021,20154,34
19,2021,20155,38
19,2021,20156,79
19,2021,20157,57
19,2021,20158,32
19,2021,20159,71
19,2021,20161,59
19,2021,20162,70
20,2021,20121,23
20,2021,20122,15
20,2021,20123,30
20,2021,20124,19
20,2021,20125,51
20,2021,20126,57
20,2021,20127,28
20,2021,20128,66
20,2021,20129,40
20,2021,20131,22
20,2021,20132,25
20,2021,20133,39
20,2021,20134,18
20,2021,20135,11
20,2021,20136,16
20,2021,20137,13
20,2021,20138,19
20,2021,20139,55
20,2021,20141,30
20,2021,20142,39
20,2021,20143,47
20,2021,20144,41
20,2021,20145,50
20,2021,20146,33
20,2021,20147,82
20,2021,20148,40
20,2021,20149,40
20,2021,20151,38
20,2021,20152,30
20,2021,20153,51
20,2021,20154,34
20,2021,20155,52
20,2021,20156,47
20,2021,20157,38
20,2021,20158,44
20,2021,20159,23
20,2021,20161,46
20,2021,20162,27
